Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign
EIF3F,O00303,2.20803350734439,#N/A,#N/A
NAMPT,P43490,2.20620139879041,#N/A,#N/A
KPNA2,P52292,2.20538891388569,#N/A,#N/A
ACAT1,P24752,2.19619839314745,#N/A,#N/A
GCN1,Q92616,2.17102153962913,#N/A,#N/A
NCAPD2,Q15021,2.14292601338414,#N/A,#N/A
RAB18,Q9NP72,2.11844917526438,#N/A,#N/A
PFDN1,O60925,2.11258730519802,#N/A,#N/A
CYB5B,O43169,2.10236339692402,#N/A,#N/A
FLNC,Q14315,2.09659887360813,#N/A,#N/A
OLA1,Q9NTK5,2.09438625435023,#N/A,#N/A
RBM8A,Q9Y5S9,2.09234867147912,#N/A,#N/A
ELAVL1,Q15717,2.08561602199125,#N/A,#N/A
PSMD7,P51665,2.07911094007078,#N/A,#N/A
RPS15,P62841,2.07795640087261,#N/A,#N/A
PBDC1,Q9BVG4,2.07795340171025,#N/A,#N/A
CSNK2A2,P19784,2.06013165130541,#N/A,#N/A
FKBP3,Q00688,2.05628570680206,#N/A,#N/A
SRSF2,Q01130,2.04022157721847,#N/A,#N/A
ANP32E,Q9BTT0,2.03485452777634,#N/A,#N/A
MTPN,P58546,2.01343729639073,#N/A,#N/A
SRSF7,Q16629,2.01143321124495,#N/A,#N/A
DYNLRB1,Q9NP97,2.01073934232628,#N/A,#N/A
TUBB4B,P68371,1.99712256899228,#N/A,#N/A
EIF3H,O15372,1.99541039291931,#N/A,#N/A
ACTR2,P61160,1.9935631814938,#N/A,#N/A
ATP5PD,O75947,1.98985187612915,#N/A,#N/A
PSMB6,P28072,1.98243781337229,#N/A,#N/A
PSMC2,P35998,1.97851095329951,#N/A,#N/A
PPP2R1A,P30153,1.9768960896357,#N/A,#N/A
SND1,Q7KZF4,1.97405893074352,#N/A,#N/A
HPCAL1,P37235,1.97061716457906,#N/A,#N/A
DNAJA1,P31689,1.96775451831406,#N/A,#N/A
PGLS,O95336,1.96342869141834,#N/A,#N/A
KARS1,Q15046,1.96248400214251,#N/A,#N/A
TMED10,P49755,1.95786324625417,#N/A,#N/A
ACLY,P53396,1.94979971528058,#N/A,#N/A
S100A13,Q99584,1.94550250871016,#N/A,#N/A
SARS1,P49591,1.9449266025302,#N/A,#N/A
CD44,P16070,1.94323240258698,#N/A,#N/A
NDUFA9,Q16795,1.93334508968521,#N/A,#N/A
NUDT5,Q9UKK9,1.92120304812873,#N/A,#N/A
CD74,P04233,1.91797906940747,#N/A,#N/A
SRI,P30626,1.91528859235936,#N/A,#N/A
PDIA4,P13667,1.91186597073709,#N/A,#N/A
ELOC,Q15369,1.9103292787437,#N/A,#N/A
UBE2K,P61086,1.90914232109516,#N/A,#N/A
UQCRH,P07919,1.903950044286,#N/A,#N/A
ARPC5L,Q9BPX5,1.90063048661377,#N/A,#N/A
RANGAP1,P46060,1.89608000187004,#N/A,#N/A
COX5A,P20674,1.89573945012431,#N/A,#N/A
TM9SF3,Q9HD45,1.89326155315088,#N/A,#N/A
SARNP,P82979,1.88565682676178,#N/A,#N/A
PSMB4,P28070,1.88484477851377,#N/A,#N/A
S100A10,P60903,1.85394201437902,#N/A,#N/A
BASP1,P80723,1.84337474302216,#N/A,#N/A
MYO1C,O00159,1.84184865596257,#N/A,#N/A
EIF3J,O75822,1.83468620617829,#N/A,#N/A
UBE2M,P61081,1.83263743501447,#N/A,#N/A
ETFB,P38117,1.83094768376195,#N/A,#N/A
DHX15,O43143,1.83055162316794,#N/A,#N/A
EIF3A,Q14152,1.82699513660143,#N/A,#N/A
GTF2A1,P52655,1.82558761221468,#N/A,#N/A
BAG2,O95816,1.81130613096318,#N/A,#N/A
CAVIN3,Q969G5,1.81070663613808,4.88637070211155,5.27491238721863
TECR,Q9NZ01,1.80705691219545,#N/A,#N/A
TRIM28,Q13263,1.78776209385406,#N/A,#N/A
EIF1AX,P47813,1.78715799326564,#N/A,#N/A
GSPT1,P15170,1.77658516812113,#N/A,#N/A
SNRPA1,P09661,1.77471129631375,#N/A,#N/A
SKP1,P63208,1.76741447192494,#N/A,#N/A
RPS24,P62847,1.76523812314955,#N/A,#N/A
ETF1,P62495,1.76141897144563,#N/A,#N/A
SRP14,P37108,1.75887931400441,#N/A,#N/A
RPSA,P08865,1.75467963386989,#N/A,#N/A
ARPC3,O15145,1.75144462567277,#N/A,#N/A
PRPF19,Q9UMS4,1.74505671420308,#N/A,#N/A
SBDS,Q9Y3A5,1.74013566051153,#N/A,#N/A
KRT73,Q86Y46,1.73887617035549,#N/A,#N/A
DDX39B,Q13838,1.73248861340755,#N/A,#N/A
PSMB1,P20618,1.73206466681441,#N/A,#N/A
EIF3C,Q99613,1.71776048149898,#N/A,#N/A
PSMA4,P25789,1.7167031181444,#N/A,#N/A
SNRPE,P62304,1.71112251602027,#N/A,#N/A
RAD23B,P54727,1.70258402405881,#N/A,#N/A
HNRNPR,O43390,1.69274988809337,#N/A,#N/A
RUVBL1,Q9Y265,1.6854760985879,#N/A,#N/A
TMOD3,Q9NYL9,1.6846319948087,#N/A,#N/A
SORD,Q00796,1.67360176078828,#N/A,#N/A
HNRNPUL2,Q1KMD3,1.67339664873006,#N/A,#N/A
ATP5PO,P48047,1.66728947065269,#N/A,#N/A
PSMD4,P55036,1.6643062849087,#N/A,#N/A
RAB14,P61106,1.65877987799512,#N/A,#N/A
PSMC6,P62333,1.65846717894694,#N/A,#N/A
EHD2,Q9NZN4,1.636278089705,#N/A,#N/A
EIF2A,Q9BY44,1.63360920163912,#N/A,#N/A
ERO1A,Q96HE7,1.63084033672434,#N/A,#N/A
ADH5,P11766,1.61830772437513,#N/A,#N/A
PDCD6IP,Q8WUM4,1.61810960766119,#N/A,4.30285011842559
SGTA,O43765,1.61383739007106,#N/A,#N/A
TXNRD1,Q16881,1.61329525467395,#N/A,#N/A
G6PD,P11413,1.595829682953,#N/A,#N/A
TMEM43,Q9BTV4,1.59382031435453,#N/A,#N/A
GSS,P48637,1.59305014687515,#N/A,#N/A
EIF4H,Q15056,1.59022914774371,#N/A,#N/A
STRAP,Q9Y3F4,1.58791844717199,#N/A,#N/A
RARS1,P54136,1.58677236326443,#N/A,#N/A
EIF3D,O15371,1.58021325120005,#N/A,#N/A
PDIA6,Q15084,1.56587131862702,#N/A,#N/A
PAFAH1B2,P68402,1.56498199519772,#N/A,#N/A
SNX3,O60493,1.56495520429899,#N/A,#N/A
ALDH9A1,P49189,1.55648854365031,#N/A,#N/A
EHD1,Q9H4M9,1.55591247472205,#N/A,#N/A
CPNE1,Q99829,1.54227205176723,#N/A,#N/A
EGFR,P00533,1.53755629374735,#N/A,#N/A
ABHD14B,Q96IU4,1.53636812687562,4.0775580319693,4.04208509471672
KIF5B,P33176,1.53451785863579,#N/A,#N/A
CYB5R3,P00387,1.52367310432358,#N/A,#N/A
CDV3,Q9UKY7,1.52350645101504,#N/A,#N/A
ARCN1,P48444,1.52237665685123,#N/A,#N/A
COPA,P53621,1.52081733730599,#N/A,#N/A
QARS1,P47897,1.5178048774122,#N/A,#N/A
AIMP1,Q12904,1.510612051287,#N/A,#N/A
DRG1,Q9Y295,1.50869631487195,#N/A,#N/A
ACADVL,P49748,1.50714874087221,#N/A,#N/A
PITPNB,P48739,1.50225040214851,#N/A,#N/A
HNRNPA0,Q13151,1.50190821543619,#N/A,#N/A
IPO7,O95373,1.49842791163587,#N/A,#N/A
SUMO1,P63165,1.49785502240346,#N/A,#N/A
MAPK14,Q16539,1.497168766774,#N/A,#N/A
EIF4E,P06730,1.49695251367895,#N/A,#N/A
PSMC4,P43686,1.49040967257993,#N/A,#N/A
ST13,P50502,1.4898753682653,#N/A,#N/A
RPL36AL,Q969Q0,1.48937664038053,#N/A,#N/A
RPN2,P04844,1.48333920794314,#N/A,#N/A
PIN1,Q13526,1.48168474140264,#N/A,#N/A
VASP,P50552,1.47633645944496,4.60341021851444,4.66787034318726
HNRNPF,P52597,1.47183520977017,#N/A,#N/A
SUGT1,Q9Y2Z0,1.47157884888592,#N/A,#N/A
DDB1,Q16531,1.46922947411514,#N/A,#N/A
HM13,Q8TCT9,1.46875538558175,#N/A,#N/A
IPO5,O00410,1.4622869554405,#N/A,#N/A
SMS,P52788,1.46196706953996,#N/A,#N/A
DDOST,P39656,1.45753222716092,#N/A,#N/A
CHCHD3,Q9NX63,1.45556988989819,#N/A,#N/A
PFDN6,O15212,1.45067961176025,#N/A,#N/A
ECHS1,P30084,1.45043296948929,#N/A,#N/A
BCAP31,P51572,1.44573550468524,#N/A,#N/A
UAP1,Q16222,1.44445996191848,#N/A,#N/A
PPIAL4C,A0A0B4J2A2,1.44392701631602,#N/A,#N/A
HSBP1,O75506,1.4405741218264,#N/A,#N/A
GLOD4,Q9HC38,1.42716163572132,#N/A,#N/A
RBBP4,Q09028,1.42225853668369,#N/A,#N/A
TBCB,Q99426,1.42200549368958,#N/A,#N/A
GPX1,P07203,1.41980923471182,#N/A,#N/A
EFTUD2,Q15029,1.41656155965575,#N/A,#N/A
ACTBL2,Q562R1,1.41368752830404,#N/A,#N/A
SRM,P19623,1.41321620843374,#N/A,#N/A
DDX21,Q9NR30,1.41300393020997,#N/A,#N/A
HNRNPDL,O14979,1.41055382109491,#N/A,#N/A
SEC61B,P60468,1.40996120553402,#N/A,#N/A
DDX1,Q92499,1.40623437756399,#N/A,#N/A
BUB3,O43684,1.40428885878915,#N/A,#N/A
SSBP1,Q04837,1.40334400362455,#N/A,#N/A
CBR1,P16152,1.39753717602502,#N/A,#N/A
HNRNPH1,P31943,1.39524860606597,#N/A,#N/A
TMEM33,P57088,1.39127924805695,#N/A,#N/A
MANF,P55145,1.38882921476986,#N/A,#N/A
UQCRFS1,P47985,1.3885191311354,#N/A,#N/A
ARHGDIB,P52566,1.38662065348065,#N/A,#N/A
GRPEL1,Q9HAV7,1.38479008761572,#N/A,#N/A
CLTB,P09497,1.38364143042124,#N/A,#N/A
OAT,P04181,1.38185157254497,#N/A,#N/A
FH,P07954,1.37727834559227,#N/A,#N/A
YWHAH,Q04917,1.37531192502376,#N/A,#N/A
DENR,O43583,1.374084484092,#N/A,#N/A
FSCN1,Q16658,1.3740458656555,#N/A,#N/A
IDH1,O75874,1.36822218447056,#N/A,#N/A
HYOU1,Q9Y4L1,1.36698301761885,#N/A,#N/A
ARPC1A,Q92747,1.3663649932014,#N/A,#N/A
UBA1,P22314,1.35562092950381,#N/A,#N/A
GLRX3,O76003,1.3530794954507,#N/A,#N/A
ELOB,Q15370,1.34826864684022,#N/A,#N/A
ATP1A1,P05023,1.34681225179429,#N/A,#N/A
MATR3,P43243,1.34516874102929,#N/A,#N/A
UBE2I,P63279,1.33598931943123,#N/A,#N/A
IMMT,Q16891,1.3340270961676,#N/A,#N/A
PSMC3,P17980,1.33368483560812,#N/A,#N/A
TUBA4A,P68366,1.33049687105297,#N/A,#N/A
ETFA,P13804,1.32910471053987,#N/A,#N/A
LSM7,Q9UK45,1.32854680950403,#N/A,#N/A
EIF3M,Q7L2H7,1.32587351274496,#N/A,#N/A
METAP2,P50579,1.32151890885595,#N/A,#N/A
NAGK,Q9UJ70,1.32098933699616,#N/A,#N/A
UBE2E3,Q969T4,1.31976408296629,#N/A,#N/A
SSR4,P51571,1.31583981269776,#N/A,#N/A
ATP5PF,P18859,1.31081195138094,#N/A,#N/A
RUVBL2,Q9Y230,1.30970730908774,#N/A,#N/A
GGCT,O75223,1.30906193363022,#N/A,#N/A
ACSL4,O60488,1.30659030666967,#N/A,#N/A
HNRNPH3,P31942,1.30508222745266,#N/A,#N/A
CIRBP,Q14011,1.30450776627514,#N/A,#N/A
CORO1B,Q9BR76,1.30126196856777,#N/A,#N/A
EIF5,P55010,1.29959314784028,#N/A,#N/A
TXNDC5,Q8NBS9,1.29399000922601,#N/A,#N/A
HPRT1,P00492,1.29330735282952,#N/A,#N/A
TRIR,Q9BQ61,1.29251090780178,#N/A,#N/A
IARS1,P41252,1.28816896377968,#N/A,#N/A
CMPK1,P30085,1.28652103565337,#N/A,#N/A
PSMD12,O00232,1.28238129720928,#N/A,#N/A
DDX17,Q92841,1.28214019200532,4.10821457893366,4.58970407625061
CNN2,Q99439,1.27804857932215,#N/A,#N/A
PSMB7,Q99436,1.27343681825374,#N/A,#N/A
PRDX4,Q13162,1.26970161773849,#N/A,#N/A
FDPS,P14324,1.26914519832526,#N/A,#N/A
PSMC5,P62195,1.26812346453531,#N/A,#N/A
HBA2,P69905,1.26691396790313,#N/A,#N/A
DNAJB1,P25685,1.26655640327964,#N/A,#N/A
YARS1,P54577,1.26637117914664,#N/A,#N/A
LSM8,O95777,1.26486542429336,#N/A,#N/A
ATL3,Q6DD88,1.26450973175188,#N/A,#N/A
PAFAH1B1,P43034,1.26018963617994,#N/A,#N/A
RPS26,P62854,1.25927620290442,#N/A,#N/A
CKS1B,P61024,1.25758006302163,#N/A,#N/A
H3C13,Q71DI3,1.25346475200161,#N/A,#N/A
RFC4,P35249,1.2518195567899,#N/A,#N/A
PDLIM5,Q96HC4,1.25101524978252,#N/A,#N/A
SEPTIN7,Q16181,1.24145492611774,#N/A,#N/A
ALCAM,Q13740,1.23819500013358,#N/A,#N/A
ARF6,P62330,1.2369807370902,#N/A,#N/A
EIF4A2,Q14240,1.23242828249969,#N/A,#N/A
EIF4G1,Q04637,1.23184366426754,#N/A,#N/A
CSNK2A1,P68400,1.22723080636057,#N/A,#N/A
CAPZA1,P52907,1.22636833822773,#N/A,#N/A
ARL8B,Q9NVJ2,1.22570219924781,#N/A,#N/A
FXR1,P51114,1.22516455711018,#N/A,#N/A
G3BP2,Q9UN86,1.22308918178353,#N/A,#N/A
BSG,P35613,1.22255729024147,#N/A,#N/A
GART,P22102,1.22000379249022,#N/A,#N/A
NIBAN2,Q96TA1,1.21999805546857,#N/A,#N/A
RBBP7,Q16576,1.21767220659467,#N/A,#N/A
API5,Q9BZZ5,1.21237247773263,#N/A,#N/A
PCMT1,P22061,1.20882430677553,#N/A,#N/A
HARS1,P12081,1.20810270349389,#N/A,#N/A
VDAC3,Q9Y277,1.20349654973972,#N/A,#N/A
COPB1,P53618,1.19992133314683,#N/A,#N/A
PDAP1,Q13442,1.19906986213244,#N/A,#N/A
KHDRBS1,Q07666,1.1960664221758,5.06122381552356,5.08014026752424
LSM4,Q9Y4Z0,1.19525898284893,#N/A,#N/A
GRHPR,Q9UBQ7,1.1939461364506,#N/A,#N/A
COPB2,P35606,1.19252274530494,#N/A,#N/A
PRMT5,O14744,1.1867932671844,#N/A,#N/A
COPS4,Q9BT78,1.18565297935709,#N/A,#N/A
LTA4H,P09960,1.18529192114962,#N/A,#N/A
PSMB3,P49720,1.18423566916851,#N/A,#N/A
EEF1E1,O43324,1.18332817295523,#N/A,#N/A
EIF3K,Q9UBQ5,1.17876073467393,#N/A,#N/A
RTRAF,Q9Y224,1.17837054100972,#N/A,#N/A
NSFL1C,Q9UNZ2,1.17722963684595,#N/A,#N/A
SNRNP70,P08621,1.17707042658768,#N/A,#N/A
NAP1L4,Q99733,1.17609003020084,#N/A,#N/A
ILKAP,Q9H0C8,1.17005357201103,#N/A,#N/A
DLD,P09622,1.16799704532102,#N/A,#N/A
WDHD1,O75717,1.16697152518526,#N/A,#N/A
FUBP3,Q96I24,1.16468811938568,#N/A,#N/A
VAT1,Q99536,1.16237435377969,#N/A,#N/A
SNRPC,P09234,1.15972141211052,#N/A,#N/A
LTF,P02788,1.15879376676087,#N/A,#N/A
ESD,P10768,1.15174991800858,#N/A,#N/A
SEPTIN11,Q9NVA2,1.15168179239412,#N/A,#N/A
MRPL33,O75394,1.14967357074107,#N/A,#N/A
SEPTIN9,Q9UHD8,1.14582978605798,#N/A,#N/A
SSR1,P43307,1.14538899369251,#N/A,#N/A
CKS2,P33552,1.14356514975621,#N/A,#N/A
HK1,P19367,1.14161816171392,#N/A,#N/A
DYNC1I2,Q13409,1.13983620110586,#N/A,#N/A
SF3B1,O75533,1.13829224656772,3.98753911415505,4.27260436737158
SPR,P35270,1.13737672689014,#N/A,#N/A
UQCRC1,P31930,1.13707477413563,#N/A,#N/A
CTTN,Q14247,1.13479537126827,#N/A,#N/A
DBN1,Q16643,1.13271110931794,#N/A,#N/A
GET3,O43681,1.13108915526064,#N/A,#N/A
RCC1,P18754,1.12419358232308,#N/A,#N/A
BCCIP,Q9P287,1.1226422179201,#N/A,#N/A
MAP4,P27816,1.12162445361605,#N/A,#N/A
MCTS1,Q9ULC4,1.12152928206028,#N/A,#N/A
BLVRB,P30043,1.11862036141893,#N/A,#N/A
PSMD3,O43242,1.1175111234239,#N/A,#N/A
IDH3A,P50213,1.11402174359249,#N/A,#N/A
PSMD8,P48556,1.1115090277364,#N/A,#N/A
TMX1,Q9H3N1,1.11112629605044,#N/A,#N/A
HMGA1,P17096,1.10901636658945,#N/A,#N/A
TSG101,Q99816,1.10849913050926,#N/A,#N/A
CHMP4B,Q9H444,1.10794380767847,#N/A,#N/A
CRK,P46108,1.10744591753436,#N/A,#N/A
PRPF6,O94906,1.10726295491984,#N/A,#N/A
SNX27,Q96L92,1.10691678676028,5.03217885289954,5.02934780331964
SDHA,P31040,1.09684204804194,#N/A,#N/A
PYGB,P11216,1.09078240269869,#N/A,#N/A
MAP2K1,Q02750,1.0897252215734,#N/A,#N/A
KLC1,Q07866,1.08685982911719,#N/A,#N/A
PSMD10,O75832,1.08604761982905,#N/A,#N/A
SLC1A5,Q15758,1.08570465502086,#N/A,#N/A
NDUFA4,O00483,1.08559090228985,#N/A,#N/A
CHMP7,Q8WUX9,1.08382320279498,#N/A,#N/A
UBXN1,Q04323,1.0834261761399,#N/A,#N/A
RTCB,Q9Y3I0,1.08232959072944,#N/A,#N/A
TXLNA,P40222,1.08222043441871,#N/A,#N/A
BLVRA,P53004,1.07649529449247,#N/A,#N/A
DEK,P35659,1.07465817589905,#N/A,#N/A
TRMT112,Q9UI30,1.07059441639257,#N/A,#N/A
HSD17B10,Q99714,1.06719628108994,#N/A,#N/A
VBP1,P61758,1.06641815085062,#N/A,#N/A
F3,P13726,1.06605926483251,#N/A,#N/A
SRP72,O76094,1.06407947252559,#N/A,#N/A
DCTN2,Q13561,1.05917785012258,#N/A,#N/A
U2AF2,P26368,1.05269795937209,#N/A,#N/A
UGDH,O60701,1.05190571874844,#N/A,#N/A
EWSR1,Q01844,1.05075425121152,#N/A,#N/A
EIF3G,O75821,1.04816416444105,#N/A,#N/A
DDX39A,O00148,1.04807847528817,#N/A,#N/A
COX6A1,P12074,1.04538252988845,#N/A,#N/A
ABCE1,P61221,1.0444166969946,#N/A,#N/A
NPC2,P61916,1.04282855451475,#N/A,#N/A
CAPRIN1,Q14444,1.04094749235978,#N/A,#N/A
BANF1,O75531,1.04039444705105,#N/A,#N/A
RPA3,P35244,1.04030168852387,#N/A,#N/A
CNBP,P62633,1.0369740668538,#N/A,#N/A
RTN4,Q9NQC3,1.03532096654632,#N/A,#N/A
LSM3,P62310,1.034067678485,#N/A,#N/A
PSMD5,Q16401,1.02950742766673,#N/A,#N/A
SAR1A,Q9NR31,1.02574936486885,#N/A,#N/A
NUDCD1,Q96RS6,1.02477471056614,#N/A,#N/A
PSMD6,Q15008,1.02356961166389,#N/A,#N/A
SF3B5,Q9BWJ5,1.02153156626816,#N/A,4.15609343970096
GRB2,P62993,1.01968527206581,#N/A,#N/A
CCDC6,Q16204,1.01876079245399,#N/A,#N/A
PRSS1,P07477,1.01860609381404,#N/A,#N/A
MYDGF,Q969H8,1.01559899475525,#N/A,#N/A
PEPD,P12955,1.01237146624786,#N/A,#N/A
CDC73,Q6P1J9,1.01132912702918,#N/A,#N/A
SRSF9,Q13242,1.01011412897459,#N/A,#N/A
ACTR1A,P61163,1.0077671437301,#N/A,#N/A
XPO1,O14980,1.00532289200695,#N/A,#N/A
GLB1,P16278,1.00460964592123,#N/A,#N/A
ISG15,P05161,1.00326733767532,#N/A,#N/A
EPHX1,P07099,1.00060798538322,#N/A,#N/A
EPRS1,P07814,0.99970560816018,#N/A,#N/A
NEMF,O60524,0.998794767458093,#N/A,#N/A
NONO,Q15233,0.995285653329304,#N/A,4.51953380137869
SF3B3,Q15393,0.993566026425934,#N/A,4.05998682666649
SUCLG2,Q96I99,0.990252833166778,#N/A,#N/A
TMED7,Q9Y3B3,0.989119799292442,#N/A,#N/A
MRPS23,Q9Y3D9,0.988279174007651,#N/A,#N/A
GNB1,P62873,0.987816116477264,#N/A,#N/A
RRBP1,Q9P2E9,0.986740464533991,#N/A,#N/A
PSMB5,P28074,0.977796853672051,#N/A,#N/A
UQCR10,Q9UDW1,0.975522657079516,#N/A,#N/A
PRPS1,P60891,0.973786516738004,#N/A,#N/A
TOMM40,O96008,0.972391561153586,#N/A,#N/A
ABRACL,Q9P1F3,0.968593239326787,#N/A,#N/A
RPLP1,P05386,0.965707987677078,#N/A,#N/A
ATP5ME,P56385,0.963787213247796,#N/A,#N/A
CYRIB,Q9NUQ9,0.963611077050223,#N/A,#N/A
FLII,Q13045,0.961183477333107,#N/A,#N/A
UCHL3,P15374,0.960790233263492,#N/A,#N/A
GNG12,Q9UBI6,0.957388328671697,#N/A,#N/A
CSDE1,O75534,0.957284128704111,#N/A,#N/A
ALDH7A1,P49419,0.956209976525714,#N/A,#N/A
BPNT1,O95861,0.955375695648577,#N/A,#N/A
H3-7,Q5TEC6,0.955165421322051,#N/A,#N/A
NENF,Q9UMX5,0.955046567756022,#N/A,#N/A
HDHD5,Q9BXW7,0.954503054167329,#N/A,#N/A
TSN,Q15631,0.954295974429441,#N/A,#N/A
VPS35,Q96QK1,0.952996464477994,#N/A,#N/A
SRSF6,Q13247,0.952511079310752,#N/A,#N/A
ACAT2,Q9BWD1,0.946175254478633,#N/A,#N/A
COPE,O14579,0.944567714192494,#N/A,#N/A
PRKDC,P78527,0.944374256274581,#N/A,#N/A
SLC25A5,P05141,0.943458763997144,#N/A,#N/A
MT-CO2,P00403,0.939770522343716,#N/A,#N/A
MCM3,P25205,0.93875573002375,#N/A,#N/A
PABPC4,Q13310,0.936713972794492,#N/A,#N/A
PPID,Q08752,0.932016778282291,#N/A,#N/A
CNDP2,Q96KP4,0.929361836694959,#N/A,#N/A
ANXA11,P50995,0.929094531216363,#N/A,#N/A
PPIF,P30405,0.928098179354762,#N/A,#N/A
COPG1,Q9Y678,0.918471047203832,#N/A,#N/A
UPF1,Q92900,0.918043388505227,#N/A,#N/A
TFG,Q92734,0.917065585652282,#N/A,#N/A
PMPCA,Q10713,0.912926011197151,#N/A,#N/A
DDX46,Q7L014,0.908767055705222,#N/A,#N/A
MAPK1,P28482,0.907132695380121,#N/A,#N/A
FARSB,Q9NSD9,0.907069475132863,#N/A,#N/A
C1QBP,Q07021,0.906903123866391,#N/A,#N/A
NCEH1,Q6PIU2,0.904360675787054,#N/A,#N/A
ADSL,P30566,0.901679027233694,#N/A,#N/A
RCC2,Q9P258,0.901533937697389,#N/A,#N/A
TTLL12,Q14166,0.900165493019136,#N/A,#N/A
DYNLT1,P63172,0.900127056913421,#N/A,#N/A
OTUB1,Q96FW1,0.899329398126758,#N/A,#N/A
CD151,P48509,0.897244952034243,#N/A,#N/A
MMP24OS,A0A0U1RRL7,0.897144382044026,#N/A,#N/A
OGDH,Q02218,0.892562899710871,#N/A,#N/A
MYCBP,Q99417,0.888915601266275,#N/A,#N/A
ATP2A2,P16615,0.886206776096861,#N/A,#N/A
UGP2,Q16851,0.886082306268341,#N/A,#N/A
ATP1B3,P54709,0.885359243540198,#N/A,#N/A
HADHB,P55084,0.884576264290766,#N/A,#N/A
PFDN5,Q99471,0.879608077196696,#N/A,#N/A
COPS2,P61201,0.878212527634294,#N/A,#N/A
ZW10,O43264,0.876823704635125,#N/A,#N/A
U2AF1,Q01081,0.874031500645909,#N/A,#N/A
SEC22B,O75396,0.87245670963413,#N/A,#N/A
GMPS,P49915,0.870717298304937,#N/A,#N/A
KRT79,Q5XKE5,0.870260141219715,#N/A,#N/A
MAP1LC3B,Q9GZQ8,0.867584705811336,#N/A,#N/A
PRKAR2A,P13861,0.866289860209749,#N/A,#N/A
TUBB6,Q9BUF5,0.862328957486253,#N/A,#N/A
CSNK2B,P67870,0.86005149403774,#N/A,#N/A
TMEM263,Q8WUH6,0.860009482076119,#N/A,#N/A
S100A16,Q96FQ6,0.859727148748489,#N/A,#N/A
PDLIM7,Q9NR12,0.858638882877984,#N/A,#N/A
SEC13,P55735,0.850347069194186,#N/A,#N/A
PSPH,P78330,0.849817241664376,#N/A,#N/A
GSTP1,P09211,0.84919066838793,#N/A,#N/A
GNPDA1,P46926,0.848136338924439,#N/A,#N/A
SRP68,Q9UHB9,0.847838537686087,#N/A,#N/A
ADSS2,P30520,0.847724524286178,#N/A,#N/A
ASNS,P08243,0.845049249002658,#N/A,#N/A
SAE1,Q9UBE0,0.843276775829375,#N/A,#N/A
RHEB,Q15382,0.840754963327481,#N/A,#N/A
UQCRB,P14927,0.838355553694565,#N/A,#N/A
RIC8A,Q9NPQ8,0.836664196844134,#N/A,#N/A
SCRN1,Q12765,0.835443272047679,#N/A,#N/A
DTD1,Q8TEA8,0.834200693045196,#N/A,#N/A
PPIH,O43447,0.83336799074619,#N/A,#N/A
SLC7A11,Q9UPY5,0.833066535756253,#N/A,#N/A
PRKAR1A,P10644,0.832685103792436,#N/A,#N/A
ANXA4,P09525,0.832177271125026,#N/A,#N/A
ACOT7,O00154,0.830627524648393,#N/A,#N/A
PCYT1A,P49585,0.828681011917823,#N/A,#N/A
USP14,P54578,0.827399401472715,#N/A,#N/A
PLS3,P13797,0.827164349386846,#N/A,#N/A
TMEM109,Q9BVC6,0.824121660656094,#N/A,#N/A
BAX,Q07812,0.820068832011772,#N/A,#N/A
ITGA3,P26006,0.818871343494231,#N/A,#N/A
DDAH1,O94760,0.818553637109915,#N/A,#N/A
EDF1,O60869,0.816892382497693,#N/A,#N/A
TWF2,Q6IBS0,0.816245699016836,#N/A,#N/A
FUBP1,Q96AE4,0.81420530425914,#N/A,#N/A
ACP1,P24666,0.814078044421423,#N/A,#N/A
MINPP1,Q9UNW1,0.813751830663162,#N/A,#N/A
POLE3,Q9NRF9,0.809931478683195,#N/A,#N/A
LSM2,Q9Y333,0.80861426775593,#N/A,#N/A
ADK,P55263,0.807422439148743,#N/A,#N/A
ATP5PB,P24539,0.805516115872052,#N/A,#N/A
CARHSP1,Q9Y2V2,0.804242045489234,#N/A,#N/A
CYC1,P08574,0.803231797035156,#N/A,#N/A
PUF60,Q9UHX1,0.801547735280414,#N/A,#N/A
PSMD1,Q99460,0.801316620779919,#N/A,#N/A
PGRMC1,O00264,0.800868525845554,#N/A,#N/A
SMC3,Q9UQE7,0.797238304051871,#N/A,#N/A
SERPINB6,P35237,0.795136968132401,#N/A,#N/A
TMED4,Q7Z7H5,0.794855497313397,#N/A,#N/A
PSMD9,O00233,0.793467596701216,#N/A,#N/A
ATP6V1G1,O75348,0.784073195038334,#N/A,#N/A
LARS1,Q9P2J5,0.783875421333366,#N/A,#N/A
ARHGAP1,Q07960,0.781563348900423,#N/A,#N/A
SUCLA2,Q9P2R7,0.77848815127034,#N/A,#N/A
KTN1,Q86UP2,0.776220031332425,#N/A,#N/A
NUDT21,O43809,0.775123556474259,4.46216820420635,4.3797354970467
MAT2B,Q9NZL9,0.77375420808195,#N/A,#N/A
TXNDC12,O95881,0.772735788454033,#N/A,#N/A
CYB5A,P00167,0.772194868588399,#N/A,#N/A
TUBG1,P23258,0.770457915797846,#N/A,#N/A
CIAPIN1,Q6FI81,0.768523337843348,#N/A,#N/A
HNRNPUL1,Q9BUJ2,0.767660613168071,#N/A,#N/A
GSTM3,P21266,0.767152597128094,#N/A,#N/A
