gene_id,uniprot_id,[µM],pKapp,Kapp,complexome
CAPNS1,P04632,6.62074982661704,,,
ANXA3,P12429,6.61209685677408,,,
YWHAQ,P27348,6.60922327647577,,,
FKBP1A,P62942,6.58242276524469,,,
TPT1,P13693,6.56733637196356,,,
PLEC,Q15149,6.52286453676847,,,
H2BC21,Q16778,6.51358814324312,,,
HNRNPU,Q00839,6.33075760333748,,,
RPL18,Q07020,6.30582333825638,,,
STIP1,P31948,6.30562229491264,,,
AHNAK,Q09666,6.2586207487478,,,
FAU,P62861,6.22187006806696,,,
H2AC20,Q16777,6.21257076023861,,,
RPL18A,Q02543,6.20660227714681,,,
CAV1,Q03135,6.19859172503746,,,
FLNB,O75369,6.11892641604815,,,
RPS15A,P62244,6.10210574926964,,,
UBE2V1,Q13404,6.09401101171163,,,
SNRPD1,P62314,6.03999406037838,,,
SH3BGRL3,Q9H299,6.03623839445473,,,
RPL34,P49207,6.01293220107362,,,
ARHGDIA,P52565,6.00735185134051,,,
RPS28,P62857,5.96678783440685,,,
P4HB,P07237,5.96507741495582,,,
RPL5,P46777,5.96197162694848,,,
H2BC18,Q5QNW6,5.94799412970974,,,
KRT18,P05783,5.9414615146643,,,
RPL9P9,P32969,5.93076374818715,,,
HMGB1,P09429,5.8779004342301,,,
TKT,P29401,5.87541339843988,,,
MSN,P26038,5.87466951700262,,,
PTBP1,P26599,5.87201756207984,,,
EIF4A1,P60842,5.81354970103456,,,
RPL11,P62913,5.77138468926479,,,
PRDX5,P30044,5.72106563198386,,,
HSPA9,P38646,5.71980718292413,,,
PSMD11,O00231,5.70389604418892,,,
RPL23,P62829,5.68002560021949,,,
RPL8,P62917,5.679004576528,,,
HINT1,P49773,5.67021178848146,,,
GSTO1,P78417,5.55126942625804,,,
FLNA,P21333,5.53285932330971,,,
RPS7,P62081,5.51289323106251,,,
PSME3,P61289,5.48888482401144,,,
PRKCSH,P14314,5.47661267218767,,,
ATOX1,O00244,5.42767519138568,,,
FERMT2,Q96AC1,5.41930395343642,,,
RPL38,P63173,5.38692564124341,,,
RPL30,P62888,5.37613311913495,,,
ANXA6,P08133,5.34859383927535,,,
CANX,P27824,5.32812398422223,,,
PPA1,Q15181,5.30618527003278,,,
WDR1,O75083,5.26603729673826,,,
MDH2,P40926,5.24229842451036,,,
NUTF2,P61970,5.21786172588014,,,
PSMA7,O14818,5.17468957826343,,,
RPL35,P42766,5.15427226058695,,,
PPP1R14B,Q96C90,5.14181344732145,,,
IMPDH2,P12268,5.11546075456335,,,
AHCYL2,Q96HN2,5.10251614100177,,,
MTHFD1,P11586,5.08113443759416,,,
TFRC,P02786,5.07330471826616,,,
PNP,P00491,5.06046064306912,,,
SPINT2,O43291,5.04708206744825,,,
PAICS,P22234,5.04288472694715,,,
CAP1,Q01518,5.01801027471796,,,
GDI2,P50395,4.94380110005484,,,
CCT7,Q99832,4.9208421237292,,,
PCBP1,Q15365,4.91853470918714,,,
ARPC4,P59998,4.91206321881802,,,
CCT3,P49368,4.84917376858925,,,
CCT5,P48643,4.84839859648759,,,
PTMA,P06454,4.82818381661541,,,
RANBP1,P43487,4.78684242049475,,,
RPL3,P39023,4.76746343673154,,,
ATIC,P31939,4.73588198183817,,,
ATP5F1B,P06576,4.69530153658765,,,
HNRNPA3,P51991,4.65974451988686,,,
PSME1,Q06323,4.6249387148287,,,
TCP1,P17987,4.60342899478861,,,
TPM3,P06753,4.58985485332464,,,
PA2G4,Q9UQ80,4.5574448790404,,,
TPD52L2,O43399,4.54072134584338,,,
RPLP0,P05388,4.52551345170788,,,
PHB1,P35232,4.45648514966602,,,
CLTC,Q00610,4.42648804951778,,,
AHSG,P02765,4.42293039304143,,,
RPL31,P62899,4.41875198234865,,,
SNRPD2,P62316,4.40608212470127,,,
NAP1L1,P55209,4.40350627680456,,,
TALDO1,P37837,4.40199207971293,,,
RPS14,P62263,4.3974787747525,,,
B2M,P61769,4.39631434421647,,,
CAPG,P40121,4.37439034323598,,,
PSAT1,Q9Y617,4.35095877002501,,,
DTYMK,P23919,4.33255576310683,,,
GOT2,P00505,4.31224786683363,,,
PSMA1,P25786,4.3010660542346,,,
CTSD,P07339,4.29615591052681,,,
ACTN1,P12814,4.27169823891849,,,
RPL28,P46779,4.26269687432578,,,
ILF2,Q12905,4.24996784396907,,,
LGALS3,P17931,4.23237001058146,,,
GPI,P06744,4.22300182554032,,,
CCT4,P50991,4.21712052821848,,,
KHSRP,Q92945,4.21487471244156,,,
TGM2,P21980,4.16930093091007,,,
PSME2,Q9UL46,4.12599616456418,,,
SNRPD3,P62318,4.1235559569272,,,
FABP5,Q01469,4.09884349385049,,,
RPS5,P46782,4.08907632901658,,,
LASP1,Q14847,4.0852988806952,,,
BTF3,P20290,4.06911669536368,,,
G3BP1,Q13283,4.06887381897682,,,
MDH1,P40925,4.04276262599675,,,
ANP32A,P39687,4.04034183221905,,,
GARS1,P41250,4.02293281982963,,,
SLIRP,Q9GZT3,3.99799962734593,,,
HDGF,P51858,3.96628577375424,,,
BOLA2B,Q9H3K6,3.9609939312562,,,
MYL12B,O14950,3.95517953629607,,,
LRRC59,Q96AG4,3.95025479663309,,,
HNRNPL,P14866,3.94187350702877,,,
UBE2L3,P68036,3.9331280015248,,,
XRCC5,P13010,3.91318430365382,,,
CALU,O43852,3.91062774966353,,,
CNN3,Q15417,3.88025381535476,,,
HSPA4,P34932,3.86558729412377,,,
RAB7A,P51149,3.86264558386504,,,
CCT2,P78371,3.86153346491912,,,
CSE1L,P55060,3.86020812063485,,,
CLIC4,Q9Y696,3.84253840692956,,,
PSMA6,P60900,3.80518306521314,,,
DUT,P33316,3.78820624146921,,,
TUBB3,Q13509,3.75716813689784,,,
RCN1,Q15293,3.73383709738952,,,
PSMA3,P25788,3.71875898561485,,,
TUBB2A,Q13885,3.71068235467592,,,
SRSF1,Q07955,3.70555086705948,,,
SH3BGRL,O75368,3.65218750030641,,,
SPTBN1,Q01082,3.6495596077146,,,
EIF6,P56537,3.64366690048912,,,
AK1,P00568,3.6322126856114,,,
PLIN3,O60664,3.62659920128702,,,
PEA15,Q15121,3.60457912600637,,,
CDC37,Q16543,3.60306719410289,,,
PSMA5,P28066,3.59230752413198,,,
FASN,P49327,3.57970760564729,,,
HSPB1,P04792,3.57959516512845,,,
SNRPF,P62306,3.56315228836995,,,
RPL14,P50914,3.55716607213565,,,
GANAB,Q14697,3.54532221227046,,,
SERPINH1,P50454,3.54159049973732,,,
RPL21,P46778,3.53586658057325,,,
LMNB2,Q03252,3.51666907317766,,,
SSB,P05455,3.51078589610406,,,
NES,P48681,3.50778684772699,,,
CORO1C,Q9ULV4,3.48908308764041,,,
PGD,P52209,3.47100199854681,,,
PDCD5,O14737,3.46472162175693,,,
APMAP,Q9HDC9,3.45088193415175,,,
NUDC,Q9Y266,3.45031061668059,,,
SPTAN1,Q13813,3.44683374557512,,,
COX4I1,P13073,3.41848398170834,,,
TWF1,Q12792,3.41232828989727,,,
HNRNPAB,Q99729,3.40250534198172,,,
TARS1,P26639,3.39975430792087,,,
DARS1,P14868,3.39740865021441,,,
EIF2S1,P05198,3.37902346383615,,,
AHSA1,O95433,3.37881304314696,,,
COX6B1,P14854,3.35812884394767,,,
LAP3,P28838,3.35005541340225,,,
CAPN2,P17655,3.3496510444364,,,
PRPF8,Q6P2Q9,3.34145017664197,,,
DDX5,P17844,3.33944886229927,,,
EIF1,P41567,3.33183490301889,,,
KPNB1,Q14974,3.3310258201005,,,
RPL19,P84098,3.32428364510815,,,
ARPC2,O15144,3.31662111590518,,,
CDC42,P60953,3.29745968066671,,,
PRMT1,Q99873,3.28915069110229,,,
RPL39,P62891,3.28092230094393,,,
EIF3I,Q13347,3.24026454804225,,,
EZR,P15311,3.2155884625648,,,
RPL37A,P61513,3.18909237340861,,,
NT5E,P21589,3.17595559359426,,,
HSPH1,Q92598,3.17514372955529,,,
EIF3L,Q9Y262,3.17171331009241,,,
VCL,P18206,3.17016496692411,,,
PFDN2,Q9UHV9,3.1167898077245,,,
JPT1,Q9UK76,3.10937481323374,,,
CCT6A,P40227,3.10891830633635,,,
XRCC6,P12956,3.10776502492296,,,
RNH1,P13489,3.10721312181618,,,
PABPC1,P11940,3.10703409363384,,,
TUFM,P49411,3.07192893523459,,,
RPL13A,P40429,3.05309466174815,,,
DDT,P30046,3.05206103897404,,,
HSPA1B,P0DMV9,3.04138421869135,,,
DSTN,P60981,3.02406823092934,,,
EIF2S2,P20042,3.02077037071988,,,
ANP32B,Q92688,3.01177544851897,,,
PHB2,Q99623,2.99791450015195,,,
SEPTIN2,Q15019,2.98994231049219,,,
SLC25A3,Q00325,2.9817666169274,,,
AKR1B1,P15121,2.97194065263287,,,
CFHR3,Q02985,2.96346353352837,,,
CKAP4,Q07065,2.94335788555214,,,
CAPZB,P47756,2.92620130067582,,,
KRT19,P08727,2.90188270648685,,,
PSMD2,Q13200,2.89549405592121,,,
MT2A,P02795,2.85316732421108,,,
ITGB1,P05556,2.81138595374804,,,
HNRNPM,P52272,2.81019078559693,,,
SYNCRIP,O60506,2.79264380639536,,,
FEN1,P39748,2.78215137055859,,,
MYOF,Q9NZM1,2.76711357280309,,,
CDK1,P06493,2.75177415769643,,,
PAFAH1B3,Q15102,2.74964584794368,,,
RPS6,P62753,2.74953095538689,,,
DYNC1H1,Q14204,2.74952791999924,,,
ARF1,P84077,2.74247113762897,,,
UBE2D3,P61077,2.72832881448611,,,
ALYREF,Q86V81,2.71184445246238,,,
SERBP1,Q8NC51,2.71042668381333,,,
GOT1,P17174,2.70970852377452,,,
RALY,Q9UKM9,2.70928129379577,,,
SFN,P31947,2.70070928053562,,,
ACTR3,P61158,2.68959667769687,,,
CSRP1,P21291,2.68339661040051,,,
ARF4,P18085,2.64036588048132,,,
TLN1,Q9Y490,2.63950762189999,,,
TOMM34,Q15785,2.63351732808099,,,
PDLIM1,O00151,2.62412795198313,,,
IQGAP1,P46940,2.61350136560544,,,
PCBP2,Q15366,2.61237201252127,,,
HMGB2,P26583,2.59932936471069,,,
PSMB2,P49721,2.59519491202117,,,
TMPO,P42166,2.58556163518106,,,
DHX9,Q08211,2.58501008829342,,,
SRSF3,P84103,2.58325303598185,,,
PSMD13,Q9UNM6,2.56983179562435,,,
GMFB,P60983,2.56334300707481,,,
GLO1,Q04760,2.56097192295883,,,
EIF3E,P60228,2.52359047853989,,,
SFPQ,P23246,2.52038117199833,4.66644608257799,21.55529234728798,0.021073946345552486
ILF3,Q12906,2.51097420545377,,,
PFKP,Q01813,2.51085551247756,,,
GLUD1,P00367,2.51001754416916,,,
SRP9,P49458,2.50135850508735,,,
ARPC5,O15511,2.49865284602874,,,
TXNDC17,Q9BRA2,2.49776237797017,,,
RPL35A,P18077,2.49590310719275,,,
ERP29,P30040,2.48882023558326,,,
SNRPB,P14678,2.4798149655781,,,
SLC3A2,P08195,2.46162250692993,,,
APRT,P07741,2.45411490516197,,,
PHF5A,Q7RTV0,2.45160942311918,,,
APEX1,P27695,2.44635710932014,,,
EIF4A3,P38919,2.43305733290694,,,
RPL10,P27635,2.43284850032575,,,
HNRNPD,Q14103,2.4312206576473,,,
RPL32,P62910,2.41936739320007,,,
LMNB1,P20700,2.40620669096024,,,
CLTA,P09496,2.39076361082894,,,
EIF3B,P55884,2.38936752153661,,,
PPIL3,Q9H2H8,2.38143660723006,,,
RPS27,P42677,2.37972795213684,,,
EXOSC10,Q01780,2.37856908293691,,,
DPYSL2,Q16555,2.37343281206891,,,
PTMS,P20962,2.35333788063531,,,
COX6C,P09669,2.34598168215012,,,
IKBIP,Q70UQ0,2.34417480422542,,,
YWHAG,P61981,2.32294117514483,,,
BZW1,Q7L1Q6,2.31325516715809,,,
MAGOH,P61326,2.31266686897912,,,
MAT2A,P31153,2.31173924820282,,,
PSMA2,P25787,2.30642323599186,,,
FKBP4,Q02790,2.30375558330897,,,
PPP2CA,P67775,2.29653453771512,,,
ASCC3,Q8N3C0,2.29269795452551,,,
MARCKS,P29966,2.28650791009201,,,
ARPC1B,O15143,2.27899707711323,,,
CD59,P13987,2.27019161598883,,,
YKT6,O15498,2.26973367654816,,,
LMAN2,Q12907,2.2623333972776,,,
RPN1,P04843,2.25031806146347,,,
H2AZ2,Q71UI9,2.22823207886919,,,
YBX1,P67809,2.21921795487845,,,
CBX3,Q13185,2.2180059923733,,,
PAK2,Q13177,2.21750879077266,4.50968075543386,30.925679060510078,0.013493404775747564
PSMC1,P62191,2.21405938744617,,,
LRPPRC,P42704,2.20830492704105,,,
EIF3F,O00303,2.20803350734439,,,
NAMPT,P43490,2.20620139879041,,,
KPNA2,P52292,2.20538891388569,,,
ACAT1,P24752,2.19619839314745,,,
GCN1,Q92616,2.17102153962913,,,
NCAPD2,Q15021,2.14292601338414,,,
RAB18,Q9NP72,2.11844917526438,,,
PFDN1,O60925,2.11258730519802,,,
CYB5B,O43169,2.10236339692402,,,
FLNC,Q14315,2.09659887360813,,,
OLA1,Q9NTK5,2.09438625435023,,,
RBM8A,Q9Y5S9,2.09234867147912,,,
ELAVL1,Q15717,2.08561602199125,,,
PSMD7,P51665,2.07911094007078,,,
RPS15,P62841,2.07795640087261,,,
PBDC1,Q9BVG4,2.07795340171025,,,
CSNK2A2,P19784,2.06013165130541,,,
FKBP3,Q00688,2.05628570680206,,,
SRSF2,Q01130,2.04022157721847,,,
ANP32E,Q9BTT0,2.03485452777634,,,
MTPN,P58546,2.01343729639073,,,
SRSF7,Q16629,2.01143321124495,,,
DYNLRB1,Q9NP97,2.01073934232628,,,
TUBB4B,P68371,1.99712256899228,,,
EIF3H,O15372,1.99541039291931,,,
ACTR2,P61160,1.9935631814938,,,
ATP5PD,O75947,1.98985187612915,,,
PSMB6,P28072,1.98243781337229,,,
PSMC2,P35998,1.97851095329951,,,
PPP2R1A,P30153,1.9768960896357,,,
SND1,Q7KZF4,1.97405893074352,,,
HPCAL1,P37235,1.97061716457906,,,
DNAJA1,P31689,1.96775451831406,,,
PGLS,O95336,1.96342869141834,,,
KARS1,Q15046,1.96248400214251,,,
TMED10,P49755,1.95786324625417,,,
ACLY,P53396,1.94979971528058,,,
S100A13,Q99584,1.94550250871016,,,
SARS1,P49591,1.9449266025302,,,
CD44,P16070,1.94323240258698,,,
NDUFA9,Q16795,1.93334508968521,,,
NUDT5,Q9UKK9,1.92120304812873,,,
CD74,P04233,1.91797906940747,,,
SRI,P30626,1.91528859235936,,,
PDIA4,P13667,1.91186597073709,,,
ELOC,Q15369,1.9103292787437,,,
UBE2K,P61086,1.90914232109516,,,
UQCRH,P07919,1.903950044286,,,
ARPC5L,Q9BPX5,1.90063048661377,,,
RANGAP1,P46060,1.89608000187004,,,
COX5A,P20674,1.89573945012431,,,
TM9SF3,Q9HD45,1.89326155315088,,,
SARNP,P82979,1.88565682676178,,,
PSMB4,P28070,1.88484477851377,,,
S100A10,P60903,1.85394201437902,,,
BASP1,P80723,1.84337474302216,,,
MYO1C,O00159,1.84184865596257,,,
EIF3J,O75822,1.83468620617829,,,
UBE2M,P61081,1.83263743501447,,,
ETFB,P38117,1.83094768376195,,,
DHX15,O43143,1.83055162316794,,,
EIF3A,Q14152,1.82699513660143,,,
GTF2A1,P52655,1.82558761221468,,,
BAG2,O95816,1.81130613096318,,,
CAVIN3,Q969G5,1.81070663613808,5.27491238721863,5.309915534773526,0.05049655277604925
TECR,Q9NZ01,1.80705691219545,,,
TRIM28,Q13263,1.78776209385406,,,
EIF1AX,P47813,1.78715799326564,,,
GSPT1,P15170,1.77658516812113,,,
SNRPA1,P09661,1.77471129631375,,,
SKP1,P63208,1.76741447192494,,,
RPS24,P62847,1.76523812314955,,,
ETF1,P62495,1.76141897144563,,,
SRP14,P37108,1.75887931400441,,,
RPSA,P08865,1.75467963386989,,,
ARPC3,O15145,1.75144462567277,,,
PRPF19,Q9UMS4,1.74505671420308,,,
SBDS,Q9Y3A5,1.74013566051153,,,
KRT73,Q86Y46,1.73887617035549,,,
DDX39B,Q13838,1.73248861340755,,,
PSMB1,P20618,1.73206466681441,,,
EIF3C,Q99613,1.71776048149898,,,
PSMA4,P25789,1.7167031181444,,,
SNRPE,P62304,1.71112251602027,,,
RAD23B,P54727,1.70258402405881,,,
HNRNPR,O43390,1.69274988809337,,,
RUVBL1,Q9Y265,1.6854760985879,,,
TMOD3,Q9NYL9,1.6846319948087,,,
SORD,Q00796,1.67360176078828,,,
HNRNPUL2,Q1KMD3,1.67339664873006,,,
ATP5PO,P48047,1.66728947065269,,,
PSMD4,P55036,1.6643062849087,,,
RAB14,P61106,1.65877987799512,,,
PSMC6,P62333,1.65846717894694,,,
EHD2,Q9NZN4,1.636278089705,,,
EIF2A,Q9BY44,1.63360920163912,,,
ERO1A,Q96HE7,1.63084033672434,,,
ADH5,P11766,1.61830772437513,,,
PDCD6IP,Q8WUM4,1.61810960766119,4.30285011842559,49.790889119706875,0.0063596994902468396
SGTA,O43765,1.61383739007106,,,
TXNRD1,Q16881,1.61329525467395,,,
G6PD,P11413,1.595829682953,,,
TMEM43,Q9BTV4,1.59382031435453,,,
GSS,P48637,1.59305014687515,,,
EIF4H,Q15056,1.59022914774371,,,
STRAP,Q9Y3F4,1.58791844717199,,,
RARS1,P54136,1.58677236326443,,,
EIF3D,O15371,1.58021325120005,,,
PDIA6,Q15084,1.56587131862702,,,
PAFAH1B2,P68402,1.56498199519772,,,
SNX3,O60493,1.56495520429899,,,
ALDH9A1,P49189,1.55648854365031,,,
EHD1,Q9H4M9,1.55591247472205,,,
CPNE1,Q99829,1.54227205176723,,,
EGFR,P00533,1.53755629374735,,,
ABHD14B,Q96IU4,1.53636812687562,4.04208509471672,90.76426712221297,0.0033688174462085385
KIF5B,P33176,1.53451785863579,,,
CYB5R3,P00387,1.52367310432358,,,
CDV3,Q9UKY7,1.52350645101504,,,
ARCN1,P48444,1.52237665685123,,,
COPA,P53621,1.52081733730599,,,
QARS1,P47897,1.5178048774122,,,
AIMP1,Q12904,1.510612051287,,,
DRG1,Q9Y295,1.50869631487195,,,
ACADVL,P49748,1.50714874087221,,,
PITPNB,P48739,1.50225040214851,,,
HNRNPA0,Q13151,1.50190821543619,,,
IPO7,O95373,1.49842791163587,,,
SUMO1,P63165,1.49785502240346,,,
MAPK14,Q16539,1.497168766774,,,
EIF4E,P06730,1.49695251367895,,,
PSMC4,P43686,1.49040967257993,,,
ST13,P50502,1.4898753682653,,,
RPL36AL,Q969Q0,1.48937664038053,,,
RPN2,P04844,1.48333920794314,,,
PIN1,Q13526,1.48168474140264,,,
VASP,P50552,1.47633645944496,4.66787034318726,21.484717957198608,0.012934241051993922
HNRNPF,P52597,1.47183520977017,,,
SUGT1,Q9Y2Z0,1.47157884888592,,,
DDB1,Q16531,1.46922947411514,,,
HM13,Q8TCT9,1.46875538558175,,,
IPO5,O00410,1.4622869554405,,,
SMS,P52788,1.46196706953996,,,
DDOST,P39656,1.45753222716092,,,
CHCHD3,Q9NX63,1.45556988989819,,,
PFDN6,O15212,1.45067961176025,,,
ECHS1,P30084,1.45043296948929,,,
BCAP31,P51572,1.44573550468524,,,
UAP1,Q16222,1.44445996191848,,,
PPIAL4C,A0A0B4J2A2,1.44392701631602,,,
HSBP1,O75506,1.4405741218264,,,
GLOD4,Q9HC38,1.42716163572132,,,
RBBP4,Q09028,1.42225853668369,,,
TBCB,Q99426,1.42200549368958,,,
GPX1,P07203,1.41980923471182,,,
EFTUD2,Q15029,1.41656155965575,,,
ACTBL2,Q562R1,1.41368752830404,,,
SRM,P19623,1.41321620843374,,,
DDX21,Q9NR30,1.41300393020997,,,
HNRNPDL,O14979,1.41055382109491,,,
SEC61B,P60468,1.40996120553402,,,
DDX1,Q92499,1.40623437756399,,,
BUB3,O43684,1.40428885878915,,,
SSBP1,Q04837,1.40334400362455,,,
CBR1,P16152,1.39753717602502,,,
HNRNPH1,P31943,1.39524860606597,,,
TMEM33,P57088,1.39127924805695,,,
MANF,P55145,1.38882921476986,,,
UQCRFS1,P47985,1.3885191311354,,,
ARHGDIB,P52566,1.38662065348065,,,
GRPEL1,Q9HAV7,1.38479008761572,,,
CLTB,P09497,1.38364143042124,,,
OAT,P04181,1.38185157254497,,,
FH,P07954,1.37727834559227,,,
YWHAH,Q04917,1.37531192502376,,,
DENR,O43583,1.374084484092,,,
FSCN1,Q16658,1.3740458656555,,,
IDH1,O75874,1.36822218447056,,,
HYOU1,Q9Y4L1,1.36698301761885,,,
ARPC1A,Q92747,1.3663649932014,,,
UBA1,P22314,1.35562092950381,,,
GLRX3,O76003,1.3530794954507,,,
ELOB,Q15370,1.34826864684022,,,
ATP1A1,P05023,1.34681225179429,,,
MATR3,P43243,1.34516874102929,,,
UBE2I,P63279,1.33598931943123,,,
IMMT,Q16891,1.3340270961676,,,
PSMC3,P17980,1.33368483560812,,,
TUBA4A,P68366,1.33049687105297,,,
ETFA,P13804,1.32910471053987,,,
LSM7,Q9UK45,1.32854680950403,,,
EIF3M,Q7L2H7,1.32587351274496,,,
METAP2,P50579,1.32151890885595,,,
NAGK,Q9UJ70,1.32098933699616,,,
UBE2E3,Q969T4,1.31976408296629,,,
SSR4,P51571,1.31583981269776,,,
ATP5PF,P18859,1.31081195138094,,,
RUVBL2,Q9Y230,1.30970730908774,,,
GGCT,O75223,1.30906193363022,,,
ACSL4,O60488,1.30659030666967,,,
HNRNPH3,P31942,1.30508222745266,,,
CIRBP,Q14011,1.30450776627514,,,
